	en	fr	es	el	
classroom_introduction	Introduction	Introduction	Introducción	Εισαγωγή	
introduction_title1	A classroom to teach visual literacy	Un espace pour l'éducation aux médias visuels	Un espacio para la educación a los medios visuales	Μια τάξη για τη διδασκαλία του οπτικού γραμματισμού	
introduction_para1	Our goal is to help you to use this extension in your teaching. On this page you will find resources for media education: proposals of pedagogical practices, videos on disinformation, a serious game to learn how to use various tools to track down the manipulation of images and videos.	Notre objectif est de vous accompagner afin que vous puissiez utiliser cette extension dans vos pratiques pédagogiques. Vous trouverez sur cette pages des ressources pour l’éducation aux médias : propositions de pratiques pédagogiques, vidéos sur les infox, un jeu éducatif pour apprendre le fonctionnement de divers outils pour débusquer la manipulation des images et des vidéos.	Nuestro objetivo es acompañarle para que pueda utilizar esta extensión en sus prácticas de enseñanza. En esta página encontrarás recursos para la educación mediática: propuestas de prácticas pedagógicas, vídeos sobre bulos, un juego educativo para aprender a utilizar diversas herramientas para detectar la manipulación de imágenes y vídeos.	Στόχος μας είναι να σας βοηθήσουμε να χρησιμοποιήσετε αυτήν την επέκταση στη διδασκαλία σας. Σε αυτήν τη σελίδα θα βρείτε πόρους για την εκπαίδευση στα μέσα ενημέρωσης: προτάσεις παιδαγωγικών πρακτικών, βίντεο σχετικά με την παραπληροφόρηση, ένα σοβαρό παιχνίδι για να μάθετε πώς να χρησιμοποιείτε διάφορα εργαλεία για τον εντοπισμό της χειραγώγησης εικόνων και βίντεο.	
introduction_title2	Teaching information verification and critical thinking	Enseigner la vérification de l'information et la pensée critique	Enseñar la verificación de la información y el pensamiento crítico	Διδασκαλία επαλήθευσης πληροφοριών και κριτική σκέψη	
introduction_para2	Verification is twofold. You can verify the digital object itself through visual examination (the tool magnifier provides an effective way to examine an image or a video frame), through its metadata (through the metadata reader), or forensic analysis (analysis of the signal treatment to reveal an eventual tampering). You can also verify the context of that digital object (who is talking about it, how is it indexed by leading search engines), through the Analysis or Keyframes feature.	Le processus de vérification est double. Vous pouvez vérifier l'objet numérique lui-même par un examen visuel (la loupe fournit un moyen efficace d'examiner une image ou une image-clé vidéo), à travers ses métadonnées (par le lecteur de métadonnées), ou par l'analyse forensic (analyse du traitement du signal pour révéler une éventuelle altération). Vous pouvez également examiner le contexte de cet objet numérique (qui en parle, comment est-il indexé par les principaux moteurs de recherche), notamment grâce à la fonction Analyse ou Images-clés.	La verificación es doble. Se puede verificar el objeto digital en sí mismo mediante un examen visual (la herramienta de aumento proporciona una forma eficaz de examinar una imagen o un fotograma de vídeo), mediante sus metadatos (a través del lector de metadatos), o mediante análisis forensic (análisis del tratamiento de la señal para revelar una posible manipulación). También se pueden verificar el contexto del objeto digital (quién habla de él, cómo está indexado por los principales motores de búsqueda), a través de la función de análisis o de fotogramas clave.	Η επαλήθευση είναι διπλή. Μπορείτε να επαληθεύσετε το ίδιο το ψηφιακό αντικείμενο μέσω οπτικής εξέτασης (ο μεγεθυντικός φακός παρέχει έναν αποτελεσματικό τρόπο εξέτασης μιας εικόνας ή ενός καρέ του βίντεο), μέσω των μεταδεδομένων του (μέσω του αναγνώστη μεταδεδομένων), ή ανάλυση αυθεντικότητας εικόνας (ανάλυση του σήματος για να αποκαλυφθεί ενδεχόμενη παραβίαση). Μπορείτε επίσης να επαληθεύσετε τις σχέσεις αυτού του ψηφιακού αντικειμένου με τον εξωτερικό κόσμο, εξετάζοντας τα συμφραζόμενα (ποιος μιλάει για αυτό, πώς ευρετηριάζεται από κορυφαίες μηχανές αναζήτησης, μέσω των εργαλείων Ανάλυση ή Χαρακτηριστικά καρέ).	
introduction_title3	Where to start ?	Par où commencer ?	¿ Donde empezar ?	Από πού να αρχίσω ?	
introduction_para3	You can start by looking at the Tutorial page to learn about the toolbox. Then, we provide you in this classroom item with a teaching tab.	Vous pouvez commencer par la page Tutoriel pour vous familiariser avec les différents outils. Ensuite, vous avez un onglet enseignement dans cette page Salle de cours.	Puede comenzar con la pagina de Tutorial para conocer las diferentes herramientas. Luego, esta pagina de Aula tiene una pestaña de Enseñanza.	temp	
introduction_title4	Interactive as a sandbox	Interactif comme bac à sable	Interactivo como entorno de pruebas	Διαδραστικό ως περιβάλλον δοκιμής	
introduction_para4	The Interactive feature is a good way to start learning how to verify pictures and videos.	Un bon moyen de commencer est de vous familiariser avec la vérification des images et des vidéos avec le menu Interactif.	El menu Interactivo le permite comenzar a aprender a verificar imagenes y videos.	temp	
introduction_title5	In case of troubleshooting ?	Que faire en cas de problème ?	¿ Que hacer en caso de problema ?	Σε περίπτωση αντιμετώπισης προβλημάτων;	
