	en	fr	es
tuto_title	Tutorial	Tutoriel	Tutorial
tuto_h_1	Access menu	Menu Popup	Menú de accesso
tuto_1	This launcher (introduced in v0.60) to access the InVID plugin aims to help journalists (and users) to retrieve videos and images urls within the code of a web page:	Ce menu intermédiaire (introduit dans la v0.60) pour accéder à l'outil InVID vise à aider les journalistes (et utilisateurs) à récupérer les liens des images et vidéos à l'intérieur du code d'une page web:	Este menú iniciador (introducido en la v0.60) para acceder a la extensión tiene como objetivo ayudar a los periodistas (y a los usuarios) a recuperar los enlaces de las imágenes y videos dentro del código de una página web:
open_website	Open Website	Ouvrir le site	Abrir el sitio
open_website_description	launches the plugin	ouvre l'extension	lanza el plugin
video_urls	Videos Urls	Urls de vidéos	Vídeos urls
video_urls_description	displays the url of a video present on a web page	 affiche les urls des vidéos présentes dans la page web	muestra la url de un vídeo presente en una página web
images_url	Images	Images	Imágenes
images_url_description	displays the url of an image present on a web page	affiche les images présentes dans la page web	muestra las imagenes en la página web
tuto_3	Here, below, is an example of a video url retrieval on Instagram.	En dessous se trouve un exemple de la récupération d'urls vidéo sur Instagram.	A continuación se muestra un ejemplo de recuperación de una url de vídeo en Instagram.
