	en	fr	es
navbar_tools	Tools	Outils	Herramientas
navbar_analysis	Analysis	Analyse	Análisis
navbar_keyframes	Keyframes	Images clés	Imágenes claves
navbar_thumbnails	Thumbnails	Imagettes	Miniaturas
navbar_twitter	Tw. search	Recherche Tw.	Búsqueda Tw.
navbar_magnifier	Magnifier	Loupe	Lupa
navbar_metadata	Metadata	Metadonnées	Metadatos
navbar_rights	Video rights	Droits vidéo	Derechos video
navbar_forensic	Forensic	Forensic	Forensic
navbar_twitter_sna	Twitter SNA.	Twitter SNA.	Twitter SNA.
api_help_video	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0	https://www.youtube.com/embed/6kkulKrgtLQ?rel=0	https://www.youtube.com/embed/FtAbxbrJMMY?rel=0
keyframes_help_video	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0	https://www.youtube.com/embed/kXtjUWTqgFQ?rel=0	https://www.youtube.com/embed/0seFvJXegyc?rel=0
thumbnails_help_video	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/Ioe5yDqPaL8?rel=0	https://www.youtube.com/embed/cmv_1KJlbhE?rel=0
twitter_help_video	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/g0GldCZCh_Q?rel=0	https://www.youtube.com/embed/zHYJ43lhhOY?rel=0
magnifier_help_video	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/_FVyFgMqErM?rel=0	https://www.youtube.com/embed/IMutZWgZEGk?rel=0
metadata_help_video	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/RtG3kWzZfO0?rel=0	https://www.youtube.com/embed/uM-tlI6DpIE?rel=0
copyright_help_video	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/dDQWlR8u-mk?rel=0	https://www.youtube.com/embed/36hvLnIugjI?rel=0
forensic_help_video	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/jiqcixMzmpo?rel=0	https://www.youtube.com/embed/B2D0kPOAWxM?rel=0
close	Close	Fermer	Cerrar
