	en	fr	es	el	ar
assistant_title	Assistant	Assistant	Asistente	Βοηθός	المساعد
assistant_intro	The assistant will help you to analyse a webpage, an image or a video file and suggest which WeVerify tools are useful for each case	L'assistant vous aidera à analyser une page Web, une image ou un fichier vidéo et vous suggérera les outils WeVerify utiles pour chaque cas	El asistente le ayudará a analizar una página web, una imagen o un archivo de vídeo y proponer qué instrumentos WeVerify son útiles para cada caso	Ο βοηθός θα σας βοηθήσει να αναλύσει μια ιστοσελίδα, μια εικόνα ή ένα αρχείο βίντεο και να προτείνουν ποια WeVerify εργαλεία είναι χρήσιμα για κάθε περίπτωση	يدعمك المساعد من خلال تحليل صفحة ويب أو صورة أو ملف فيديو ويقترح أدوات Weverify مفيدة لكل حالة
assistant_choose	Choose what you want to analyse	Choisissez ce que vous voulez analyser	Elija lo que desea analizar	Επιλέξτε τι θέλετε να αναλύσετε	اختر ما تريد تحليله
assistant_webpage_header	Webpage link	lien de la page web	Enlace de la página web	Ιστοσελίδα σύνδεση	رابط صفحة الويب
assistant_webpage_text	Insert the link of a webpage, and the assistant will suggest the most useful tools for the contents of the given page.	Insérer le lien d'une page Web, et l'assistant vous proposera les outils les plus utiles pour le contenu de la page donnée.	El asistente sugerirá las herramientas más utiles para el contenido de la página web que se proporcione	Τοποθετήστε το σύνδεσμο μιας ιστοσελίδας, και ο βοηθός θα σας προτείνει τα πιο χρήσιμα εργαλεία για το περιεχόμενο της συγκεκριμένης σελίδας.	أدخل رابط صفحة الويب، وسيقترح المساعد أكثر الأدوات المفيدة لمحتويات الصفحة المحددة.
assistant_file_header	Local file	fichier local	Archivo local	Τοπικό αρχείο	ملف محلي
assistant_file_text	The assistant will suggest the most useful tools depending on if the file is a video or image	L'assistant vous proposera des outils les plus utiles en fonction de si le fichier est une vidéo ou une image	El asistente le sugerirá las herramientas más útiles dependiendo de si el archivo es un vídeo o imagen	Ο βοηθός θα σας προτείνει τα πιο χρήσιμα εργαλεία ανάλογα με το αν το αρχείο είναι ένα βίντεο ή εικόνα	سيقترح المساعد الأدوات الأنسب اعتمادًا على ما إذا كان الملف مقطعًا أو صورة
assistant_choose_tool	Choose the tool you want to use	Choisissez l'outil que vous souhaitez utiliser	Elija la herramienta que desea utilizar	Επιλέξτε το εργαλείο που θέλετε να χρησιμοποιήσετε	اختر الأداة التي تريد استخدامها
upload_video	Video	Video	Video	Βίντεο	فيديو
upload_image	Image	Image	Imagen	Εικόνα	صورة
assistant_urlbox	URL	Adresse URL	URL	Σύνδεσμος	عنوان URL
assistant_give_url	Give the URL of the page to analyse	Donnez l'URL de la page pour analyser	Dar la URL de la página a analizar	Δώστε τη διεύθυνση URL της σελίδας για να αναλύσει	ضع عنوان URL للصفحة لتحليها
assistant_paste_url	Paste the URL here	Coller l'URL ici	Pegar la URL aquí	Επικολλήστε τη διεύθυνση URL εδώ	الصق عنوان URL هنا
please_give_a_correct_link	Please give a correct link	Donner un lien valide s'il vous plaît	Por favor, dé un enlace válido	Παρακαλώ δώστε έναν σωστό σύνδεσμο	يرجى إعطاء رابط صحيح
button_analyse	Analyse	Analyser	Analizar	Αναλύει	تحليل
button_clean	Remove	Effacer	Borrar	Αφαιρέστε	إزالة
save	Save	Enregistrer	Gardar	Αποθήκευση	حفظ
source_credibility_title	Source Credibility	Crédibilité de la source	fuente credibilidad	αξιοπιστία πηγή	مصداقية المصدر
source_credibility_byline	The source has been found as part of a credibility check	Cette source a été repérée lors d'une vérification de crédibilité	La fuente se ha encontrado como parte de un control de la credibilidad	Η πηγή έχει βρεθεί ως μέρος του ελέγχου αξιοπιστίας	تم العثور على المصدر كجزء من فحص المصداقية
link_explorer_title	Link Explorer	Explorer les liens	Explorador de enlaces	Σύνδεσμος Explorer	رابط المستكشف
link_explorer_byline	The following URLs have been extracted from the page, and their domains have been checked for credibility	Ces adresses URLs ont été extraites de la page, et leurs domaines ont été vérifiés pour leur crédibilité	Las siguientes URL se han extraído de la página, y sus dominios se han comprobado para la credibilidad	Οι ακόλουθες διευθύνσεις URL έχουν εξαχθεί από τη σελίδα και έχουν περιοχές τους έχουν ελεγχθεί για την αξιοπιστία	تم استخراج عناوين URL التالية من الصفحة، وتم فحص مدى مصداقيتها
text_title	Text	Texte	Texto	Κείμενο	نص
