	en	fr	es	el	ar
deepfake_label	Media link	Media lien	Media link	σύνδεσμος πολυμέσων	رابط الوسائط
deepfake_name	Deepfake	Deepfake	Deepfake	Deepfake	تزوير عميق
deepfake_placeholder	Paste the URL here	Collez le lien ici	Pega aquí el link	Επικολλήστε τη διεύθυνση σύνδεσμος εδώ	الصق عنوان URL هنا
deepfake_support	Your browser does not support the video tag.	Votre navigateur ne prend pas en charge la balise vidéo.	Su navegador no soporta la etiqueta de vídeo.	Το πρόγραμμα περιήγησής σας δεν υποστηρίζει την ετικέτα βίντεο.	متصفحك الحالي لا يدعم تشغيل الفيديو.
deepfake_clips	Clips of the video	Clips de la vidéo	Clips del vídeo	Αποσπάσματα του βίντεο	مقاطع فيديو
deepfake_select	Select a shot to see the analysis results of that clip	Sélectionnez un plan pour voir les résultats de l'analyse de ce clip.	Seleccione un clip para ver los resultados del análisis de ese clip	Επιλέξτε ένα πλάνο για να δείτε τα αποτελέσματα της ανάλυσης του συγκεκριμένου κλιπ	حدد لقطة لرؤية نتائج التحليل لهذا المقطع
deepfake_clip	Clip selected	Clip sélectionné	Clip seleccionado	Επιλεγμένο κλιπ	مقطع محدد
deepfake_faces	Faces recognized	Visages reconnus	Caras reconocidas	Αναγνωρισμένα πρόσωπα	الوجوه المعرفة
deepfake_video	Video analyzed	Vidéo analysée	Vídeo analizado	Αναλυμένο βίντεο	تم تحليل الفيديو
deepfake_results	Results of the clip selected	Résultats du clip sélectionné	Resultados del clip seleccionado	Αποτελέσματα του επιλεγμένου κλιπ	نتائج المقطع المحدد
deepfake_image_link	Image link	Lien image	Link de la imagen	Σύνδεσμος εικόνας	رابط الصورة
deepfake_video_link	Video link	Lien vidéo	Link del video	Σύνδεσμος βίντεο	رابط الفيديو
deepfake_title_what	What are Thumbnails	Que sont les vignettes	¿Qué son las miniaturas?	Τι είναι οι μικρογραφίες	ما هي الصورة المصغرة (الغلاف)
deepfake_filters_explanation_image	Explanation image	Explication de l'image	Explicación de la imagen	Επεξήγηση εικόνα	شرح الصورة
deepfake_filters_explanation_cideo	Explanation video	Explication de la vidéo	Explicación del video	Επεξήγηση βίντεο	شرح الفيديو
deepfake_image_title	Detection results	Résultats de la détection	Resultados de la detección	Αποτελέσματα ανίχνευσης	نتائج الكشف
deepfake_image_faceswap_name	Faceswap	Changement de visage	Cambio de rostro	Αντικατάσταση προσώπων	تبديل الوجه
deepfake_image_faceswap_description	This method aims to detect if the person's face has been replaced in the picture.	Cette méthode vise à détecter si le visage de la personne a été remplacé dans l'image.	Este metodo trata de detectar si el rostro de la persona fue cambiado en la imagen.	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν το πρόσωπο του ατόμου έχει αντικατασταθεί στην εικόνα.	تهدف هذه الطريقة إلى اكتشاف ما إذا كان وجه الشخص قد تم استبداله في الصورة.
deepfake_image_gan_name	GAN	RAG	RAG	GAN	GAN
deepfake_image_gan_description	This method aims to detect if the image has been generated by a Generative Adversarial Network (GAN).	Cette méthode vise à détecter si l'image a été générée par un réseau antagoniste génératif (RAG).	Este metodo trata de detectar si la imagen ha sido generada por una red generativa adversativa (RAG).	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν η εικόνα έχει δημιουργηθεί από ένα Generative Adversarial Network (GAN).	تهدف هذه الطريقة إلى اكتشاف ما إذا كانت الصورة قد تم إنشاؤها بواسطة شبكة الخصومة التوليدية (GAN).
deepfake_image_diffusion_name	 Diffusion model	 Modèle de diffusion	Modelo de difusión	Μοντέλο διάχυσης	نموذج الانتشار
deepfake_image_diffusion_description	This method aims to detect if the image has been generated through a diffusion model neural network.	Cette méthode vise à détecter si l'image a été générée par un modèle neuronal de diffusion.	Este metodo trata de detectar si la image ha sigo generada por un modelo neuronal de difusión.	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν η εικόνα έχει δημιουργηθεί μέσω ενός νευρωνικού δικτύου μοντέλου διάχυσης.	تهدف هذه الطريقة إلى اكتشاف ما إذا كانت الصورة قد تم إنشاؤها من خلال شبكة عصبية لنموذج الانتشار.
deepfake_image_detection_alert	This image has been detected as generated with a 	Cette image a été détectée comme générée avec un 	Esta imagen ha sido detectada como generada con un 	Αυτή η εικόνα έχει εντοπιστεί ότι δημιουργήθηκε με α 	تم اكتشاف هذه الصورة على أنها إنشاؤها باستخدام ملف تم
deepfake_image_detection_alert_2	 algorithm	 algorithmique	 algoritmico	 algorithm	خوارزمية
deepfake_video_title	Detection results	Résultats de la détection	Resultados de la detección	Αποτελέσματα ανίχνευσης	نتائج الكشف
deepfake_video_videoreport_name	Mever Deepfake Video detector	Détecteur Mever de video deepfake	Detector Mever de video deepfake	Mever Deepfake Ανιχνευτής βίντεο	Mever Deepfake كاشف الفيديو
deepfake_video_videoreport_description	This method aims to detect if the person's face has been replaced in the video.	"Cette méthode vise à detecter si le visage d'une personne a été remplacé dans la vidéo. "	Este metodo trata de detectar si el rostro de una persona ha sido cambiado en el video.	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν το πρόσωπο του ατόμου έχει αντικατασταθεί στο βίντεο.	تهدف هذه الطريقة إلى اكتشاف ما إذا كان قد تم استبدال وجه الشخص في الفيديو.
deepfake_video_ftcn_name	Fully Temporal Convolution Network	Réseau de convolution entièrement temporel	Red de convolución totalmente temporal	Πλήρως προσωρινό δίκτυο συνέλιξης	شبكة الالتواء الزمنية بالكامل
deepfake_video_ftcn_description	This method aims to detect temporal anomalies for videos with faces.	"Cette méthode vise à detecter des anomalies temporelles dans les visages sur les vidéos. "	Este metodo trata de detectar anomalias temporales en los rostros presentes en los videos.	Αυτή η μέθοδος στοχεύει στον εντοπισμό χρονικών ανωμαλιών για βίντεο με πρόσωπα.	تهدف هذه الطريقة إلى اكتشاف الانحرافات الزمنية لمقاطع الفيديو ذات الوجوه.
deepfake_video_facereenact_name	Face Reenactment	Reconfiguration faciale	Modificación de expresiones faciales	Αναπαράσταση προσώπου	إعادة تمثيل الوجه
