<<<<<<< HEAD
	en	fr	es	el	ar
extraction_face	Faces extraction	Extraction des visages	Extracción de la cara	Εξαγωγή προσώπων	استخراج الوجوه
extraction_video	Extraction from video	Extraction depuis une vidéo	Extracto del video	Εξαγωγή απο βίντεο	استخراج من الفيديو
extraction_directory	Extraction from directory	Extraction depuis un dossier	Extracción de una carpeta	Εξαγωγή απο κατάλογο	استخراج من الدليل
=======
	en	fr	es	el	hy
extraction_face	Faces extraction	Extraction des visages	 Extracción de la cara	Εξαγωγή προσώπων	Դեմքերի դուրսբերում
extraction_video	Extraction from video	Extraction depuis une vidéo	Extracto del video	Εξαγωγή απο βίντεο	Դուրսբերում տեսանյութից
extraction_directory	Extraction from directory	Extraction depuis un dossier	 Extracción de una carpeta	Εξαγωγή απο κατάλογο	Դուրսբերում պանակից
>>>>>>> master
