	en	fr	es	el
forensic_title	Image forensic analysis	Analyse forensic d'image	Análisis forensic de imagen	Ανάλυση Αυθεντικότητας Εικόνων (image forensics)
forensic_input	Image URL link	Lien URL de l'image	Enlace URL de la imagen	Σύνδεσμος διεύθυνσης URL εικόνας
button_localfile	Local file	Fichier local	Fichero local	Τοπικό αρχείο
button_submit	Analyze	Analyser	Analizar	Αναλύει
cardheader_source	Image link or file	Lien de l'image ou fichier	Enlace de la imagen o fichero	Σύνδεσμος ή αρχείο εικόνας
linkmode_title	Link mode	Lien	Enlace 	Λειτουργία σύνδεσης
linkmode_description	Provide a URL Link towards a jpeg / jpg image	Fournissez un lien d'une image jpeg / jpg	Proporcione un enlace hacia un fichero jpeg / jpg	Παρέχετε μια σύνδεση URL προς μια εικόνα JPEG / JPG
filemode_title	File mode	Fichier 	Fichero	Λειτουργία αρχείου
filemode_description	The image to analyze is provided with a local file	L'image à analyser est un fichier local	La imagen a analizar es un fichero local	Η εικόνα για ανάλυση είναι εφοδιασμένη με ένα τοπικό αρχείο
please_give_a_correct_link	Please give a correct link	Donner un lien valide s'il vous plaît	Por favor, dé un enlace válido	Παρακαλώ δώστε σωστό σύνδεσμο
forensic_error_unsupported_file	The submitted URL is an unsupported image file, e.g. gif image or video	L'URL soumise est un fichier image non pris en charge, par exemple une image gif ou une vidéo	La URL enviada es un archivo de imagen no compatible, por ejemplo, una imagen gif o un vídeo.	Στο υποβληθέν URL υπάρχει μη υποστηριζόμενο αρχείο εικόνας, π.χ. εικόνα gif ή βίντεο
forensic_error_image_url_error	The submitted URL is an image file but it could not be processed, it may be due to network problem or platform restrictions	L'URL soumise est un fichier image, mais il n'a pas pu être traité. Cela peut être dû à un problème de réseau ou à des restrictions d'utilisation	La URL enviada es un archivo de imagen pero no pudo ser procesada, puede deberse a un problema de red o a restricciones de uso.	Στο υποβληθέν URL υπάρχει ένα αρχείο εικόνας του οποίου δεν ήταν δυνατή η επεξεργασία, πιθανόν λόγω προβλήματος δικτύου ή περιορισμών πλατφόρμας
forensic_error_url_error	The submitted URL could not be cached, it may be due to network problem, usage restrictions or a corrupted URL path	L'URL soumise n'a pas pu être traitée, cela peut être dû à un problème de réseau, à des restrictions d'utilisation ou à un chemin corrompu dans l'URL	La URL enviada no se ha podido descargar, puede deberse a un problema de red, a restricciones de descarga o a una ruta de URL dañada.	Το υποβληθέν URL δεν ήταν δυνατόν να αποθηκευτεί προσωρινά, το οποίο μπορεί να οφείλεται σε πρόβλημα του δικτύου, περιορισμούς χρήσης ή λανθασμένη διέυθυνση  URL
forensic_error_hash_not_found	An unknown issue occured. Please check the URL and try again	Un problème inconnu s'est produit. Veuillez vérifier l'URL et réessayer	Se produjo un problema desconocido. Por favor, compruebe la URL e inténtelo de nuevo	Ένα άγνωστο σφάλμα συνέβη. Παρακαλώ ελέγξτε τη διεύθυνση URL και δοκιμάστε ξανά
forensic_error_empty_parameter	An unknown issue occured. Please check the URL and try again	Un problème inconnu s'est produit. Veuillez vérifier l'URL et réessayer	Se produjo un problema desconocido. Por favor, compruebe la URL e inténtelo de nuevo	Ένα άγνωστο σφάλμα συνέβη. Παρακαλώ ελέγξτε τη διεύθυνση URL και δοκιμάστε ξανά
forensic_error_missing_image_report	The image was not submitted. Please check the URL and try again	L'image n'a pas été soumise. Veuillez vérifier l'URL et réessayer	La imagen no fue enviada. Por favor, compruebe la URL e inténtelo de nuevo	Η εικόνα δεν υποβλήθηκε. Παρακαλώ ελέγξτε τη διεύθυνση URL και δοκιμάστε ξανά
forensic_error_analysis_not_triggered	The analysis has not been triggered for this image. Please check the URL and try again	L'analyse n'a pas été déclenchée pour cette image. Veuillez vérifier l'URL et réessayer	El análisis no se ha activado para esta imagen. Por favor, compruebe la URL e inténtelo de nuevo	Η ανάλυση δεν έχει ξεκινήσει για αυτή την εικόνα. Παρακαλώ ελέγξτε τη διεύθυνση URL και δοκιμάστε ξανά
forensic_title_adq1_report	Double Quantization	DQ	DQ	Διπλός Κβαντισμός (Double Quantization)
forensic_title_ela_report	Error Level Analysis	ELA	ELA	Ανάλυση Επιπέδου Σφάλματος (Error Level Analysis)
forensic_title_median_report	Median Noise	Median Noise	Ruido mediano	Ενδιάμεσος Θόρυβος (Median Noise)
forensic_title_dct_report	DCT	DCT	DCT	Διακριτός Μετασχηματισμός Συνημιτόνου (DCT)
forensic_title_cagiNormal	CAGI	CAGI	CAGI	Ανάλυση Ασυνέπειας Πλέγματος με χρήση Περιεχομένου (CAGI)
forensic_title_cagiInversed	CAGI-Inversed	CAGI-Inversé	CAGI-Invertido	Αντίστροφη Ανάλυση Ασυνέπειας Πλέγματος με χρήση Περιεχομένου (CAGI-Inversed)
forensic_title_wavelet_report	WAVELET	WAVELET	WAVELET	Μετασχηματισμός Κυματιδίου (Wavelet)
forensic_title_blk_report	BLOCK	BLOCK	BLOCK	Ανάλυση Ασυνέπειας Πλέγματος (BLOCK)
forensic_title_ghost_report	GHOST	GHOST	GHOST	Ανάλυση με χρήση Ανακωδικοποίησης και Αφαίρεσης (GHOST)
forensic_card_info	Infos	Infos	Información	Πληροφορίες
forensic_card_back	Back	Retour	Volver	Πίσω
forensic_card_adq1_report	Double Quantization inconsistencies occur when a foreign object is inserted in a JPEG image. When the new image is saved, the untampered part of the image will have been compressed twice, while the inserted region only once. In this case, the tampered area should appear ligth-coloured (see the scale) while the rest of the image remains dark. If other colors are present (green, blue) then no conclusion can be made. Also, the light-coloured region must be object-like : spurious light dots scattered across the image should be ignored.	Les incohérences de quantification double se produisent lorsqu'un objet étranger est inséré dans une image JPEG. Lorsque la nouvelle image est enregistrée, la partie non altérée de l'image sera compressée deux fois, alors que la zone insérée ne l'aura été qu'une seule fois. Dans ce cas, la zone altérée doit apparaître en clair (comme le montre l'échelle de couleurs) alors que le reste de l'image est foncé. Si d'autres couleurs sont présentes (au milieu de l'échelle), aucune conclusion ne peut être tirée. De plus, la région claire doit être semblable à l'objet suspect: les points clairs éparpillés sur l'image sont trompeurs et doivent être ignorés.	Las inconsistencias de doble cuantificación se producen cuando se inserta un objeto extraño en una imagen JPEG. Cuando se guarda la nueva imagen, la parte no alterada de la imagen se comprimirá dos veces, mientras que el área insertada sólo una vez. En este caso, la zona alterada debería aparecer de color rojo mientras que el resto de la imagen aparece de color azul. Si hay otros colores presentes (verde, amarillo) entonces no se puede llegar a ninguna conclusión. Además, la región roja debe ser parecida a un objeto : los puntos rojos espurios dispersos por toda la imagen deben ser ignorados.	Όταν ένα ξένο αντικείμενο εισάγεται σε μια εικόνα JPEG, τότε εμφανίζονται ασυνέπειες Διπλού Κβαντισμού (Double Quantization). Όταν η νέα εικόνα σώζεται, τότε το αρχικό κομμάτι της εικόνας θα έχει συμπιεστεί δύο φορές, ενώ η περιοχή που έχει εισαχθεί μόνο μία. Σε αυτήν την περίπτωση, η παραποιημένη περιοχή θα πρέπει να εμφανίζεται κόκκινη και η υπόλοιπη εικόνα μπλε. Στην περίπτωση που εμφανίζονται και άλλα χρώματα (πράσινο, κίτρινο) τότε δεν μπορεί να προκύψει ασφαλές συμπέρασμα. Επιπλέον, η κόκκινη περιοχή πρέπει να έχει μια συνέχεια και να θυμίζει αντικείμενο. Μικρά κόκκινα σημάδια διεσπαρμένα στην εικόνα (σαν θόρυβος) πρέπει να αγνοούνται.
forensic_card_ela_report	Error Level Analysis is produced by recompressing the image as a JPEG of quality 75 and subtracting the new image from the old. The resulting image of differences is then enhanced and displayed. Areas of interest are those with higher values than other similar parts of the image. Only similar regions should be compared, i.e. edges should be compared to edges, textures to textures, and uniform regions to uniform regions. Color discrepancies (commonly blue regions) are also generally suspicious. ELA is an enhancer and is not enough to conclude about an image forgery.	L'analyse du niveau d'erreur est produite en recompressant l'image en JPEG de qualité 75 et en soustrayant la nouvelle image de l'ancienne. L'image des différences qui en résulte est ensuite mise en valeur et affichée. Les zones d'intérêt sont celles qui ont des valeurs plus élevées que d'autres parties similaires de l'image. Seules les régions similaires doivent être comparées, c'est-à-dire que les bords doivent être comparés aux bords, les textures aux textures et les régions uniformes aux régions uniformes. Les écarts de couleur (généralement les régions bleues) sont aussi généralement suspects.	El análisis de nivel de error se produce al recomprimir la imagen como JPEG de calidad 75 y restar la nueva imagen de la antigua. La imagen resultante de las diferencias se mejora y se muestra. Las áreas de interés son aquellas con valores más altos que otras partes similares de la imagen. Sólo deben compararse regiones similares, es decir, los bordes deben compararse con los bordes, las texturas con las texturas y las regiones uniformes con las regiones uniformes. Las discrepancias de color (comúnmente regiones azules) también son generalmente sospechosas.	Η Ανάλυση Επιπέδου Σφάλματος (Error Level Analysis) παράγεται συμπιέζοντας την εικόνα σε ποιότητα JPEG ίση με 75 και αφαιρώντας τη νέα εικόνα από την παλιά. Η εικόνα διαφορών που προκύπτει ενισχύεται και προβάλλεται. Περιοχές ενδιαφέροντος είναι αυτές που έχουν υψηλές τιμές σε σχέση με άλλα όμοια μέρη της εικόνας. Μόνο όμοιες περιοχές πρέπει να συγκρίνονται, π.χ. ακμές πρέπει να συγκρίνονται με ακμές, υφές με υφές και ομογενείς περιοχές με ομογενείς περιοχές. Μπλε και μωβ περιοχές θεωρούνται επίσης ύποπτες.
forensic_card_median_report	Median Noise Residuals is based on isolating the almost-invisible image noise through median filtering. When interpreting the results, areas of interest are those that return higher (i.e. brighter) values than other similar parts of the image. Only similar regions should be compared, i.e. edges should be compared to edges, textures to textures, and uniform regions to uniform regions. Media Noise is an enhancer and is not enough to conclude about an image forgery.	Median Noise Residuals est basé sur l'isolation des traces presque invisibles de l'image grâce à un filtrage médian. Lors de l'interprétation des résultats, les zones d'intérêt sont celles qui retournent des valeurs plus élevées (c'est-à-dire plus claires) que d'autres parties similaires de l'image. Seules les régions similaires doivent être comparées, c'est-à-dire que les bords doivent être comparés aux bords, les textures aux textures et les régions uniformes aux régions uniformes. Media Noise n'est pas suffisant pour prouver qu'une image a été manipulée.	Median Noise Residuals se basa en el aislamiento del ruido de la imagen casi invisible a través del filtrado mediano. Al interpretar los resultados, las áreas de interés son aquellas que devuelven valores más altos (es decir, más brillantes) que otras partes similares de la imagen. Sólo deben compararse regiones similares, es decir, los bordes deben compararse con los bordes, las texturas con las texturas y las regiones uniformes con las regiones uniformes. Media Noise no es suficiente para demostrar que una imagen esta manipulada.	Η μέθοδος Υπολοίπων Ενδιάμεσου Θορύβου (Median Noise Residuals) βασίζεται στην απομόνωση του σχεδόν αόρατου θορύβου της εικόνας χρησιμοποιώντας φιλτράρισμα ενδιάμεσου θορύβου. Για την ερμηνεία των αποτελεσμάτων, θεωρούνται ύποπτες οι περιοχές που εμφανίζουν πιο υψηλές (φωτεινές) τιμές σε σχέση με όμοια τμήματα της εικόνας. Μόνο όμοιες περιοχές πρέπει να συγκρίνονται, π.χ. ακμές πρέπει να συγκρίνονται με ακμές, υφές με υφές και ομογενείς περιοχές με ομογενείς περιοχές.
