	en	fr	es	el
geo_link	Link of the image	Lien de l'image	Link de la imagen	Ανάλυση Αυθεντικότητας Εικόνων (image forensics)
geo_paste	Paste the link here	Collez le lien ici	Pegue el link aquí	Επικολλήστε τον σύνδεσμο εδώ
geo_submit	Submit	Envoyer	Enviar	Υποβολή
geo_maps	Open in Google Maps	Ouvrir dans Google Maps	Abrir en Google Maps	Ανοίξτε στο Google Maps
geo_prediction	Location prediction of the image	Prédiction de l'emplacement de l'image	Predicción de la ubicación de la imagen	Πρόβλεψη θέσης της εικόνας
geo_source	Source of the image	Source de l'image	Origen de la imagen	Πηγή της εικόνας
geo_location	Location	Localisation	Ubicación	Τοποθεσία
geo_lat	Latitude	Latitude	Latitud	Γεωγραφικό πλάτος
geo_lon	Longitude	Longitude	Longitud	Γεωγραφικό μήκος
geo_map	Map	Carte	Mapa	Χάρτης
