	en	fr	es	el
metadata_content_title	Metadata	Métadonnées	Metadatos	Μεταδεδομένα
metadata_content_input	Image or video URL link	Lien URL de l'image ou de la vidéo	Enlace URL de la imagen o el video	Σύνδεσμος URL εικόνας ή βίντεο
metadata_content_input_placeholder	Paste the video or image link here	Collez le lien de la vidéo ou de l'image ici	Pegue el enlace del video o la imagen aquí	Επικολλήστε τον σύνδεσμο βίντεο ή εικόνας εδώ
button_localfile	Local file	Fichier local	Fichero local	Τοπικό αρχείο
metadata_radio_image	Image	Image	Imagen	Εικόνα
metadata_radio_video	Video	Vidéo	Video	Βίντεο
button_submit	Submit	Envoyer	Enviar	Υποβολή
please_give_a_correct_link	Please give a correct link	Donner un lien valide s'il vous plaît	Por favor, dé un enlace válido	Παρακαλώ δώστε έναν σωστό σύνδεσμο
metadata_img_error_exif	No EXIF Metadata was found. Note: The EXIF standard applies only to .jpg and .tiff images	Aucune métadonnée EXIF n'a été trouvée. Note: Le Format EXIF s'applique uniquement aux images .jpg et .tiff	No se encontraron metadatos EXIF. Note: El estándar EXIF se aplica sólo a imágenes.jpg y.tiff	Δεν βρέθηκαν EXIF μεταδεδομένα. Σημείωση: Το πρότυπο EXIF ​​ισχύει μόνο για εικόνες .jpg και .tiff
metadata_table_error	Video failed loading. Check the URL and try again	Vidéo impossible à charger. Veuillez verifier l'URL et réessayer	Fue imposible descargar el video. Verifica el URL y vuelve a intentarlo	Η φόρτωση του βίντεο απέτυχε. Ελέγξτε τη διεύθυνση URL και δοκιμάστε ξανά
metadata_img_software_fields_1	Make	Marque	Marca	Μάρκα
metadata_img_software_fields_2	Model	Modèle	Modelo	Μοντέλο
metadata_img_software_fields_3	Orientation	Orientation	Orientación	Προσανατολισμός
metadata_img_software_fields_4	X Resolution	Résolution X	Resolución X	X Ανάλυση
metadata_img_software_fields_5	Y Resolution	Résolution Y	Resolución Y	Y Ανάλυση
metadata_img_software_fields_6	Resolution Unit	Unité de résolution	Unidad de resolución	Μονάδα ανάλυσης
metadata_img_software_fields_7	Host Computer	Ordinateur hôte	Ordenador host	Εξυπηρετητής
metadata_img_software_fields_8	Software	Logiciel	Software	Λογισμικό
metadata_img_software_fields_9	Modify Date	Date modification	Fecha de modificación	Τροποποίηση ημερομηνίας
metadata_img_software_fields_10	YCbCr Positioning	Positionnement YCbCr	Posicionamiento YCbCr	Θέση YCbCr
metadata_img_software_fields_11	Copyright	Droits d'auteurs	Derechos de autor	Πνευματική ιδιοκτησία
metadata_img_software_desc_1				
metadata_img_software_desc_2				
metadata_img_software_desc_3				
metadata_img_software_desc_4				
metadata_img_software_desc_5				
metadata_img_software_desc_6				
metadata_img_software_desc_7	The computer and/or operating system in use at the time of image creation	L'ordinateur et/ou système opérateur utilisé au moment où la photo à été créée	El ordenador y/o el sistema operador utilizado en el momento en el que se crea la foto	Ο υπολογιστής ή / και το λειτουργικό σύστημα που χρησιμοποιήθηκε τη στιγμή της δημιουργίας εικόνας
metadata_img_software_desc_8				
metadata_img_software_desc_9	Timestamp for when you might alter the image or it's metadata	Horodatage de la possibilité de modification de l'image ou de ses métadonnées	Cronomarcador de la posibilidad de modificación de la imagen o de sus metadatos	Χρονική σήμανση για το πότε μπορείτε να αλλάξετε την εικόνα ή τα μεταδεδομένα
