	en	fr	es	el	hy
twitterStatsErrorMessage	Please fill the required fields (＊)	Veuillez remplir les champs requis (＊)	Rellene los campos requeridos (＊)	Παρακαλώ συμπληρώστε τα απαιτούμενα πεδία (＊)	Խնդրում ենք լրացնել պահանջվող դաշտերը (*)
twitter_sna_title	Twitter Social network analysis (beta)	Analyse des réseaux sociaux sur Twitter (beta)	Twitter Análisis de redes sociales (beta)	Ανάλυση κοινωνικού δικτύου Twitter (beta)	Twitter սոցիալական ցանցի վերլուծություն (բետա)
twitter_sna_search	Keyword, URL or #	Mot clé, URL ou #	Palabra clave, URL o #	Λέξη-κλειδί, διεύθυνση URL ή #	Հիմնաբառ, URL կամ #
twitter_sna_not	Words to exclude in the query	Mots à exclure de la requête	Palabras a excluir en la consulta	Λέξεις για εξαίρεση στο ερώτημα	Բառեր, հարցումում բացառելու համար
twitter_sna_user	Tweeted by (Twitter account name)	Tweeté par (Nom de compte Twitter)	Twiteado por (Nombre de una cuenta de Twitter)	Tweet από (Όνομα λογαριασμού Twitter)	Tweeted by (Twitter հաշվի անվանումը)
twitter_sna_from_date	Since	Depuis	Desde	Από	Սկսած
twitter_sna_until_date	Until	Jusqu'à	Hasta	Εως	Մինչև
twitter_local_time	Local time	Heure locale	Hora local	Τοπική ώρα	Տեղական ժամանակ
twitter_sna_gmt	GMT	GMT	GMT	GMT	Գցել
twitter_sna_media	Filters :	Filtres :	Filtros :	Φιλτρα:	Զտիչներ.
twitterStats_media_none	none	aucune	ninguna	κανένα	ոչ ոք
twitterStats_media_images	pictures	images	fotos	εικόνες	նկարներ
twitterStats_media_videos	videos	vidéos	vídeo	βίντεο	Տեսանյութեր
twitterStats_media_medias	media	média	medios de comunicación	μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ	լրատվամիջոց
twitterStats_media_both	both	les deux	ambos	και ταδύο	երկուսն էլ
twitterStats_media_both	both	les deux	ambos	και τα δύο	երկուսն էլ
twitter_sna_verified	Verified users Only :	Utilisateurs verifiés uniquement :	Usuarios verificados únicamente :	Μόνο επαληθευμένοι χρήστες:	Միայն հաստատված օգտվողներ.
twitterStats_verified_no	no	non	no	ναι	ոչ
twitterStats_verified_yes	yes	oui	si	οχι	այո
lang_choices	Language :	Langue :	Lengua :	Γλώσσα:	Լեզու :
lang_all	none	aucun	ninguno	κανένα	ոչ ոք
lang_fr	French	Français	Francés	Γαλλικά	Ֆրանսերեն
lang_en	English	Anglais	Inglés	Αγγλικά	Անգլերեն
lang_es	Spanish	Espagnol	Español	Ισπανικά	Իսպաներեն
lang_ar	Arabic	Arabe	Árabe	Αράβικα	Արաբերեն
lang_de	German	Allemand	Alemán	Γερμανικά	Գերմաներեն
lang_it	Italian	Italien	Italiano	Ιταλικά	Իտալերեն
lang_id	Indonesian	Indonésien	Indonesio	Ινδονησιακά	Ինդոնեզերեն
lang_pt	Portuguese	Portugais	Portugués	Πορτογαλικά	Պորտուգալերեն
lang_ko	Korean	Coréen	Coreano	Κορεάτικα	Կորեերեն
