	en	fr	es
twitter_card_title	Tweet Extractor	Tweet Extractor	Tweet Extractor
twitter_input_label	URL	URL	URL
twitter_card_loading	Extracting tweet...	Extracting tweet...	Extracting tweet...
author	Author :	Auteur :	Autor :
tweet_info_header	Tweet Metadata	Temp	Temp
tweet_user	User	Temp	Temp
tweet_url	URL	URL	URL
tweet_id	ID	ID	ID
tweet_text_header	Extracted Tweet	Temp
tweet_hashtags	Hashtags	Temp	Temp
tweet_media_header	Tweet Media	Temp	Temp
no_media	This tweet has no linked image, video or external link	Temp	Temp
twitter_enter_url	Enter the URL of the tweet you would like to extract	Temp	Temp
twitter_invalid_url	Invalid URL	Temp	Temp
twitter_log_in	. Error with scraper. Please ensure you are logged in to access this service	Temp	Temp
twitter_no_tweet_found	No tweets were found with this tweet ID	Temp	Temp
twitter_error	An error occurred while processing tweets	Temp	Temp
