	en	fr	es	el	hy
					
apf_part_1	Provided by 	Fourni par le 	Proporcionado por 	Παρέχεται από 	Գործիքները տրամադրել է 
apf_link	https://www.afp.com/en/medialab	https://www.afp.com/en/medialab	https://www.afp.com/en/medialab	https://www.afp.com/en/medialab	https://www.afp.com/en/medialab
apf_link_label	AFP Medialab	Medialab de l'AFP	AFP Medialab	AFP Medialab	AFP Medialab-ը
apf_part_2	To contact us, use the feedback tool.	Pour nous contacter, utilisez l'outil de feedback.	Para ponerse en contacto con nosotros, utilice la herramienta de feedback.	Για να επικοινωνήσετε μαζί μας, χρησιμοποιήστε το εργαλείο σχολίων.	Կապվելու համար, օգտվեք Հետադարձ կապ կոճակից։
					
iti_part_1	Provided by 	Fourni par le 	Proporcionado por 	Παρέχεται από 	Գործիքները տրամադրել է 
iti_link	https://www.certh.gr/root.en.aspx	https://www.certh.gr/root.en.aspx	https://www.certh.gr/root.en.aspx	https://mklab.iti.gr/	https://mklab.iti.gr/
iti_link_label	ITI CERTH	ITI CERTH	ITI CERTH	ΙΠΤΗΛ/ΕΚΕΤΑ	ITI CERTH-ը
iti_part_2	To contact us, use the feedback tool.	Pour nous contacter, utilisez l'outil de feedback.	Para ponerse en contacto con nosotros, utilice la herramienta de feedback.	Για να επικοινωνήσετε μαζί μας, χρησιμοποιήστε το εργαλείο σχολίων.	Կապվելու համար, օգտվեք Հետադարձ կապ կոճակից։
					
GRIHO_part_1	Provided by the GRIHO Research Group © 2018 Universitat de Lleida	Fourni par le groupe de recherche GRIHO © 2018 Universitat de Lleida	Proporcionado por el Grupo de Investigación GRIHO © 2018 Universitat de Lleida	Παρέχεται από την ερευνητική ομάδα GRIHO © 2018 Universitat de Lleida	Գործիքները տրամադրել է Լլեյդի Համալսարանի GRIHO Հետազոտական խումբը
GRIHO_part_2	Contact:	Contacter:	Contactar:	Επικοινωνία:	Կապ՝ 
GRIHO_email	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat
					
and	and	et	y	και	և
usfd_part_1	Provided by 	Fourni par le 	Proporcionado por 	Παρέχεται από	Գործիքները տրամադրել է 
usfd_link	https://gate.ac.uk/	https://gate.ac.uk/	https://gate.ac.uk/	https://gate.ac.uk/	
usfd_link_label	USFD	USFD	USFD	USFD	USFD-ն
usfd_part_2	To contact us, use the feedback tool.	Pour nous contacter, utilisez l'outil de feedback.	Para ponerse en contacto con nosotros, utilice la herramienta de feedback.	Για να επικοινωνήσετε μαζί μας, χρησιμοποιήστε το εργαλείο σχολίων.	Կապվելու համար, օգտվեք Հետադարձ կապ կոճակից։
eudisinfolab_link	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/
eudisinfolab_link_label	EU DisinfoLab	EU DisinfoLab	EU DisinfoLab	EU DisinfoLab	EU DisinfoLab-ը
					
borelli_part_1	Provided by 	Fourni par le 	Proporcionado por 	Παρέχεται από 	Գործիքները տրամադրել է 
borelli_link	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/recherche/laboratoires-et-instituts/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli
borelli_link_label	Borelli Center	Centre Borelli	Centro Borelli	Borelli Center	Բորելի Կենտրոնը
borelli_part_2	To contact us, use the feedback tool.	Pour nous contacter, utilisez l'outil de feedback.	Para ponerse en contacto con nosotros, utilice la herramienta de feedback.	Για να επικοινωνήσετε μαζί μας, χρησιμοποιήστε το εργαλείο σχολίων.	Կապվելու համար, օգտվեք Հետադարձ կապ կոճակից։
