	en	fr	es	el	hy
aboutsna_title	What is the Twitter SNA component ?	Qu'est-ce que le module Twitter SNA ?	¿Qué es el componente TwitterSNA?	Temp	Ինչ է Twitter SNA բաղադրիչը:
aboutsna_intro	The Twitter SNA component, built by the WeVerify EU-funded project (weverify.eu), aims to empower journalists, fact-checkers and researchers in analysing small and medium size disinformation campaigns on Twitter by providing them with automated data analysis and visualisation on keywords, hashtags and urls queries. For regular users, queries are limited to the last 15000 tweets. Restrict your query time interval if your inital request exceeds that number. This tool runs on a development server and is NOT intended for large queries.	Le module Twitter SNA, élaboré par le projet WeVerify financé par l'UE (weverify.eu), vise à donner aux journalistes, aux vérificateurs de faits et aux chercheurs les moyens d'analyser des campagnes de désinformation sur Twitter en leur fournissant une analyse et une visualisation automatisées des données sur les mots clés, les hashtags et les urls. Pour les utilisateurs réguliers, les requêtes sont limitées aux 15 000 derniers tweets. Limitez votre intervalle de temps de requête si votre demande initiale dépasse ce nombre. Cet outil fonctionne sur un serveur de développement et n'est PAS destiné aux requêtes volumineuses.	El componente Twitter SNA, elaborado por el proyecto WeVerify financiado por la UE (weverify.eu), tiene como objetivo capacitar a los periodistas, verificadores de hechos e investigadores en el análisis de campañas de desinformación de pequeño y mediano tamaño en Twitter, proporcionándoles análisis de datos automatizados y visualización de palabras clave, hashtags y urls. Para los usuarios habituales, las consultas se limitan a los últimos 15.000 tweets. Restringe el intervalo de tiempo de la consulta si su petición inicial excede ese número. Esta herramienta funciona en un servidor de desarrollo y NO está pensada para consultas voluminosas.	intro	Twitter SNA բաղադրիչը, որը ստեղծվել է WeVerify ԵՄ-ի կողմից ֆինանսավորվող նախագծի կողմից (weverify.eu), նպատակ ունի հնարավորություն տալ լրագրողներին, փաստերը ստուգողներին և հետազոտողներին վերլուծել փոքր և միջին չափի ապատեղեկատվական արշավները Twitter-ում՝ նրանց տրամադրելով տվյալների ավտոմատ վերլուծություն և հիմնաբառերի արտացոլում: , հեշթեգներ և urls հարցումներ։ Սովորական օգտատերերի համար հարցումները սահմանափակվում են վերջին 15000 թվիթներով: Սահմանափակեք ձեր հարցումների ժամանակային միջակայքը, եթե ձեր սկզբնական հարցումը գերազանցում է այդ թիվը: Այս գործիքը աշխատում է զարգացման սերվերի վրա և նախատեսված չէ մեծ հարցումների համար:
aboutsna_count	Metrics: TwitterSNA provides a cumulative count of tweets, unedited retweets and likes corresponding to your query	TwitterSNA fournit un décompte cumulé des tweets, retweets non édités et likes correspondant à votre requête	TwitterSNA proporciona un recuento acumulativo de tweets, retweets no editados y likes correspondientes a su consulta	count explanation	Չափումներ. TwitterSNA-ն տրամադրում է թվիթների, չխմբագրված ռեթվիթների և հավանումների կուտակային քանակ, որը համապատասխանում է ձեր հարցմանը:
aboutsna_timeline	Timeline : The first graphic is a timeline displaying the temporal propagation view of your query. You can restrict the time interval through the slider below the timeline. On each day, the timeline highlights a cumulative number of tweets and retweets. 	Le premier graphique est une ligne de temps montrant la propagation temporelle de votre requête. Vous pouvez limiter l'intervalle de temps grâce au curseur situé sous la ligne de temps. Chaque jour, la ligne de temps met en évidence un nombre cumulé de tweets et de retweets. 	El primer gráfico es una línea de tiempo que muestra la vista de la propagación temporal de su consulta. Puede restringir el intervalo de tiempo mediante el control deslizante que se encuentra debajo de la línea de tiempo. En cada día, la línea de tiempo destaca un número acumulativo de tweets y retweets. 	timeline explanation	Ժամանակացույց. Առաջին գրաֆիկը ժամանակացույց է, որը ցուցադրում է ձեր հարցման ժամանակավոր տարածման տեսքը: Դուք կարող եք սահմանափակել ժամանակային ընդմիջումը ժամանակացույցի տակ գտնվող սահիկի միջոցով: Ամեն օր ժամանակացույցը ընդգծում է թվիթների և ռեթվիթերի կուտակային թիվը:
aboutsna_most_RT	Most RTs : this pie chart shows the top 20 unedited retweets, corresponding to your query. You can click on each segment to display the corresponding tweets and sort them on each column.	Frise chronologique : ce graphique montre les 20 principaux retweets non édités, correspondant à votre requête. Vous pouvez cliquer sur chaque segment pour afficher les tweets correspondants et les trier sur chaque colonne.	Línea de tiempo : este gráfico muestra los 20 principales retweets sin editar, correspondientes a su consulta. Puedes hacer clic en cada segmento para mostrar los tweets correspondientes y ordenarlos en cada columna.	most RT explanation	RT-ների մեծ մասը. այս կարկանդակ աղյուսակը ցույց է տալիս լավագույն 20 չխմբագրված ռեթվիթները՝ համապատասխան ձեր հարցմանը: Դուք կարող եք սեղմել յուրաքանչյուր հատվածի վրա՝ համապատասխան թվիթերը ցուցադրելու և դրանք յուրաքանչյուր սյունակի վրա դասավորելու համար:
aboutsna_most_liked	Most liked : this pie chart shows the top 20 most liked tweets. You can click on each segment to display the corresponding tweets and sort them on each column.	Ce graphique montre les 20 tweets les plus appréciés. Vous pouvez cliquer sur chaque segment pour afficher les tweets correspondants et les trier sur chaque colonne.	Este gráfico muestra los 20 tweets más populares. Puedes hacer clic en cada segmento para mostrar los tweets correspondientes y ordenarlos en cada columna.	most liked explanation	Ամենաշատ հավանածները. այս կարկանդակ աղյուսակը ցույց է տալիս ամենաշատ հավանած թվիթերի թոփ 20-ը: Դուք կարող եք սեղմել յուրաքանչյուր հատվածի վրա՝ համապատասխան թվիթերը ցուցադրելու և դրանք յուրաքանչյուր սյունակի վրա դասավորելու համար:
aboutsna_most_active	Most active accounts : this pie chart shows the top 20 most active accounts.You can click on each segment to display the corresponding tweets and sort them on each column.	Ce diagramme montre les 20 comptes les plus actifs. Vous pouvez cliquer sur chaque segment pour afficher les tweets correspondants et les trier sur chaque colonne.	Este gráfico muestra las 20 cuentas más activas. Puedes hacer clic en cada segmento para mostrar los tweets correspondientes y ordenarlos en cada columna.	most liked explanation	Ամենաակտիվ հաշիվները. այս կարկանդակ աղյուսակը ցույց է տալիս ամենաակտիվ 20 հաշիվները: Դուք կարող եք սեղմել յուրաքանչյուր հատվածի վրա՝ համապատասխան թվիթերը ցուցադրելու և դրանք յուրաքանչյուր սյունակի վրա տեսակավորելու համար:
aboutsna_most_mentions	Most mentioned accounts : this pie chart shows the top 20 most mentioned accounts.You can click on each segment to display the corresponding tweets and sort them on each column.	Ce diagramme présente les 20 comptes les plus cités. Vous pouvez cliquer sur chaque segment pour afficher les tweets correspondants et les trier sur chaque colonne.	Este gráfico muestra las 20 cuentas más mencionadas. Puede hacer clic en cada segmento para mostrar los tweets correspondientes y ordenarlos en cada columna.	most mentions explanation	Ամենահիշյալ հաշիվները. այս կարկանդակ գծապատկերը ցույց է տալիս ամենաշատ հիշատակված 20 հաշիվները: Կարող եք սեղմել յուրաքանչյուր հատվածի վրա՝ համապատասխան թվիթերը ցուցադրելու և դրանք յուրաքանչյուր սյունակի վրա տեսակավորելու համար:
aboutsna_bubblegraph	Bubblegraph : this graphic shows the top 100 most active accounts by account creation date and by number of followers. Rhombus nodes are verified accounts. Circle nodes are unverified by Twitter. Size and colour of nodes reflects the volume of tweets matching your query. You can click on any account to see the corresponding tweets.	Ce graphique présente les 100 comptes les plus actifs par date de création de compte et par nombre d'adeptes. Les nœuds en losange sont des comptes vérifiés. Les nœuds en cercle ne sont pas vérifiés par Twitter. La taille et la couleur des nœuds reflètent le volume de tweets correspondant à votre requête. Vous pouvez cliquer sur n'importe quel compte pour voir les tweets correspondants.	Este gráfico muestra las 100 cuentas más activas por fecha de creación de la cuenta y por número de seguidores. Los nodos romboidales son cuentas verificadas. Los nodos círculares no están verificados por Twitter. El tamaño y color de los nodos refleja el volumen de tweets que coinciden con su consulta. Puedes hacer clic en cualquier cuenta para ver los tweets correspondientes.	bubblegraph explanation	Bubblegraph. այս գրաֆիկը ցույց է տալիս 100 ամենաակտիվ հաշիվները՝ ըստ հաշվի ստեղծման ամսաթվի և հետևորդների քանակի: Rhombus հանգույցները ստուգված հաշիվներ են: Շրջանակային հանգույցները չստուգված են Twitter-ի կողմից: Հանգույցների չափը և գույնը արտացոլում են ձեր հարցմանը համապատասխան թվիթերի ծավալը: Համապատասխան թվիթները տեսնելու համար կարող եք սեղմել ցանկացած աքաունթի վրա:
aboutsna_heatmap	Heatmap of propagation : the heatmap displays the tweets matching your query on a week diagram. Darker cells show highest activity. By clicking on each cell, you can see the corresponding tweets. This feature may help you to find out bot accounts tweeting periodically or coordinated behaviour to launch a disinformation campaign.	La carte de fréquentation affiche les tweets correspondant à votre requête sur un diagramme hebdomadaire. Les cellules foncées présentent la plus forte activité. En cliquant sur chaque cellule, vous pouvez voir les tweets correspondants. Cette fonction peut vous aider à découvrir les comptes de robots qui tweetent périodiquement ou un comportement coordonné pour lancer une campagne de désinformation.	El mapa de calor muestra los tweets que coinciden con su consulta en un diagrama reducido a una semana. Las celdas más oscuras muestran la mayor actividad. Haciendo clic en cada celda, puedes ver los tweets correspondientes. Esta característica puede ayudarte a encontrar cuentas de bot tuiteando periódicamente o un comportamiento coordinado para lanzar una campaña de desinformación.	heatmap explanation	Տարածման ջերմային քարտեզ. ջերմային քարտեզը ցուցադրում է ձեր հարցմանը համապատասխանող թվիթները շաբաթվա դիագրամի վրա: Ավելի մուգ բջիջները ցույց են տալիս ամենաբարձր ակտիվությունը: Սեղմելով յուրաքանչյուր բջիջի վրա՝ կարող եք տեսնել համապատասխան թվիթերը։ Այս հատկությունը կարող է օգնել ձեզ պարզել բոտերի հաշիվների պարբերաբար թվիթերը կամ համակարգված վարքագիծը՝ ապատեղեկատվության քարոզարշավ սկսելու համար:
